ingredient name,ttd id,gene symbol
Baicalein,D00YEV,KDM4E
Baicalein,D00YEV,XDH
Baicalein,D00YEV,ALOX15
Baicalein,D00YEV,CDK1
Baicalein,D00YEV,ALOX12
Baicalein,D00YEV,GRK6
Baicalein,D00YEV,CYP19A1
Baicalein,D00YEV,CA7
Baicalein,D00YEV,CA12
Baicalein,D00YEV,CA4
Baicalein,D00YEV,ABCB1
Baicalein,D00YEV,CYP1B1
Baicalein,D00YEV,HSD17B1
Baicalein,D00YEV,AKR1B1
Baicalein,D00YEV,CDK5R1
Baicalein,D00YEV,CA2
Baicalein,D00YEV,CCNB3
Baicalein,D00YEV,CDK6
Baicalein,D00YEV,CA1
Baicalein,D00YEV,CA9
Baicalein,D00YEV,ABCG2
Baicalein,D00YEV,CBR1
Baicalein,D00YEV,ESR2
Baicalein,D00YEV,ESR1
Baicalein,D00YEV,ACHE
Baicalein,D00YEV,ADORA1
Baicalein,D00YEV,ADORA2A
Baicalein,D00YEV,PTGS2
Baicalein,D00YEV,PTPRS
Baicalein,D00YEV,AMY1A
Baicalein,D00YEV,FLT3
Baicalein,D00YEV,IKBKB
Baicalein,D00YEV,NTRK2
Baicalein,D00YEV,AR
Baicalein,D00YEV,NOX4
Baicalein,D00YEV,MAOA
Baicalein,D00YEV,SYK
Baicalein,D00YEV,GSK3B
Baicalein,D00YEV,ABCC1
Baicalein,D00YEV,TTR
Baicalein,D00YEV,CSNK2A1
Baicalein,D00YEV,CFTR
Baicalein,D00YEV,AKR1B10
Baicalein,D00YEV,TNKS2
Baicalein,D00YEV,TNKS
Baicalein,D00YEV,HSD17B2
Baicalein,D00YEV,BCHE
Baicalein,D00YEV,ADORA3
Baicalein,D00YEV,TERT
Baicalein,D00YEV,LCK
Baicalein,D00YEV,PFKFB3
Baicalein,D00YEV,PIM1
Baicalein,D00YEV,PARP1
Baicalein,D00YEV,ALOX5
Baicalein,D00YEV,APP
Baicalein,D00YEV,CALM1
Baicalein,D00YEV,ARG1
Baicalein,D00YEV,NOS2
Baicalein,D00YEV,GLO1
Baicalein,D00YEV,MMP9
Baicalein,D00YEV,MMP2
Baicalein,D00YEV,MMP12
Baicalein,D00YEV,CD38
Baicalein,D00YEV,TOP1
Baicalein,D00YEV,NAE1
Baicalein,D00YEV,EGFR
Baicalein,D00YEV,SRC
Baicalein,D00YEV,TYR
Baicalein,D00YEV,AHR
Baicalein,D00YEV,ESRRA
Baicalein,D00YEV,KIT
Baicalein,D00YEV,OPRD1
