diseasename,icd-11,gene symbol
Asthma,CA23,ABCC12
Asthma,CA23,ACTB
Asthma,CA23,ACTG1
Asthma,CA23,ADAM22
Asthma,CA23,ADH1B
Asthma,CA23,ADORA2A
Asthma,CA23,AFAP1
Asthma,CA23,AKAP2
Asthma,CA23,AKT3
Asthma,CA23,ALDH1A1
Asthma,CA23,ALOX15
Asthma,CA23,AMIGO2
Asthma,CA23,ANKRD31
Asthma,CA23,ANKRD34C
Asthma,CA23,AOC3
Asthma,CA23,APOA2
Asthma,CA23,APOC1
Asthma,CA23,AQPEP
Asthma,CA23,ARPC2
Asthma,CA23,ASB5
Asthma,CA23,ASZ1
Asthma,CA23,ATG2A
Asthma,CA23,ATOH7
Asthma,CA23,ATP2A3
Asthma,CA23,ATP5E
Asthma,CA23,ATP8B5P
Asthma,CA23,ATPBD4
Asthma,CA23,AVL9
Asthma,CA23,B2M
Asthma,CA23,B3GALTL
Asthma,CA23,BBS10
Asthma,CA23,BCL2A1
Asthma,CA23,BCL2L15
Asthma,CA23,BDNFOS
Asthma,CA23,BIRC3
Asthma,CA23,BNC1
Asthma,CA23,BRIP1
Asthma,CA23,BRS3
Asthma,CA23,BTBD19
Asthma,CA23,C10orf107
Asthma,CA23,C10orf140
Asthma,CA23,C10orf40
Asthma,CA23,C11orf64
Asthma,CA23,C12orf37
Asthma,CA23,C14orf184
Asthma,CA23,C15orf43
Asthma,CA23,C1orf114
Asthma,CA23,C1orf118
Asthma,CA23,C20orf152
Asthma,CA23,C21orf37
Asthma,CA23,C3orf50
Asthma,CA23,C4orf49
Asthma,CA23,C5orf36
Asthma,CA23,C8B
Asthma,CA23,C8orf34
Asthma,CA23,C8orf84
Asthma,CA23,C9
Asthma,CA23,C9orf11
Asthma,CA23,C9orf152
Asthma,CA23,C9orf57
Asthma,CA23,CALM2
Asthma,CA23,CATSPERB
Asthma,CA23,CCDC102B
Asthma,CA23,CCDC129
Asthma,CA23,CCDC141
Asthma,CA23,CCL17
Asthma,CA23,CCL18
Asthma,CA23,CCL22
Asthma,CA23,CCL3
Asthma,CA23,CCL4
Asthma,CA23,CCR7
Asthma,CA23,CD44
Asthma,CA23,CD52
Asthma,CA23,CD63
Asthma,CA23,CD69
Asthma,CA23,CDC14C
Asthma,CA23,CDC6
Asthma,CA23,CDH6
Asthma,CA23,CEBPB
Asthma,CA23,CES1
Asthma,CA23,CFHR3
Asthma,CA23,CHPT1
Asthma,CA23,CHST15
Asthma,CA23,CKAP2
Asthma,CA23,CLC
Asthma,CA23,CLCA3P
Asthma,CA23,CLGN
Asthma,CA23,CMC1
Asthma,CA23,CNTN3
Asthma,CA23,CNTNAP4
Asthma,CA23,COL24A1
Asthma,CA23,COL28A1
Asthma,CA23,COL4A5
Asthma,CA23,CPE
Asthma,CA23,CRISP2
Asthma,CA23,CRLF2
Asthma,CA23,CSRNP3
Asthma,CA23,CST7
Asthma,CA23,CSTB
Asthma,CA23,CTSB
Asthma,CA23,CTSD
Asthma,CA23,CTSL1
Asthma,CA23,CXorf18
Asthma,CA23,CXorf57
Asthma,CA23,CYorf15A
Asthma,CA23,CYP4X1
Asthma,CA23,DACH2
Asthma,CA23,DCAF13
Asthma,CA23,DCDC5
Asthma,CA23,DCT
Asthma,CA23,DEFB132
Asthma,CA23,DEPDC1
Asthma,CA23,DHRS7
Asthma,CA23,DIRAS2
Asthma,CA23,DKK2
Asthma,CA23,DLGAP1
Asthma,CA23,DMP1
Asthma,CA23,DNAJB1
Asthma,CA23,DNM3
Asthma,CA23,DPP6
Asthma,CA23,DPY19L2
Asthma,CA23,DUSP1
Asthma,CA23,DUSP19
Asthma,CA23,E2F8
Asthma,CA23,EEF1A1
Asthma,CA23,EFHA2
Asthma,CA23,EGFR
Asthma,CA23,EIF1AY
Asthma,CA23,EPYC
Asthma,CA23,FABP4
Asthma,CA23,FAM101B
Asthma,CA23,FAM13C
Asthma,CA23,FAM19A5
Asthma,CA23,FAM3B
Asthma,CA23,FAM98B
Asthma,CA23,FAT4
Asthma,CA23,FAU
Asthma,CA23,FCER1G
Asthma,CA23,FCGR3A
Asthma,CA23,FCRL1
Asthma,CA23,FFAR3
Asthma,CA23,FGA
Asthma,CA23,FGF7
Asthma,CA23,FLJ25694
Asthma,CA23,FLJ35409
Asthma,CA23,FLJ37786
Asthma,CA23,FLJ38379
Asthma,CA23,FLJ41350
Asthma,CA23,FLJ42709
Asthma,CA23,FREM2
Asthma,CA23,FRMD4B
Asthma,CA23,FTH1
Asthma,CA23,FTHL5
Asthma,CA23,FTL
Asthma,CA23,FTO
Asthma,CA23,FTSJ2
Asthma,CA23,FUT6
Asthma,CA23,G0S2
Asthma,CA23,G30
Asthma,CA23,GABARAPL1
Asthma,CA23,GABRB2
Asthma,CA23,GABRG2
Asthma,CA23,GALP
Asthma,CA23,GAS2
Asthma,CA23,GK
Asthma,CA23,GLRA3
Asthma,CA23,GLS2
Asthma,CA23,GLUL
Asthma,CA23,GNAS
Asthma,CA23,GNG10
Asthma,CA23,GPATCH2
Asthma,CA23,GPR1
Asthma,CA23,GPR171
Asthma,CA23,GPR183
Asthma,CA23,GPR97
Asthma,CA23,GPRIN3
Asthma,CA23,GREB1
Asthma,CA23,GRIA3
Asthma,CA23,GRIA4
Asthma,CA23,GRK7
Asthma,CA23,GTPBP10
Asthma,CA23,GYPA
Asthma,CA23,GYS2
Asthma,CA23,GZMB
Asthma,CA23,H2AFY
Asthma,CA23,H3F3A
Asthma,CA23,H3F3B
Asthma,CA23,HCG11
Asthma,CA23,HDDC2
Asthma,CA23,HEPACAM2
Asthma,CA23,HIST1H2BA
Asthma,CA23,HLA-A
Asthma,CA23,HLA-B
Asthma,CA23,HLA-C
Asthma,CA23,HLA-DPA1
Asthma,CA23,HLA-DPB1
Asthma,CA23,HLA-DQA1
Asthma,CA23,HLA-DRA
Asthma,CA23,HLA-DRB1
Asthma,CA23,HMCN1
Asthma,CA23,HNRNPA3
Asthma,CA23,HOTAIR
Asthma,CA23,HPRT1
Asthma,CA23,HSPA1A
Asthma,CA23,HSPA8
Asthma,CA23,HTR2C
Asthma,CA23,HUWE1
Asthma,CA23,IER3
Asthma,CA23,IFI30
Asthma,CA23,IFITM2
Asthma,CA23,IGDCC4
Asthma,CA23,IGFBP1
Asthma,CA23,IGH@
Asthma,CA23,IGK@
Asthma,CA23,IL18R1
Asthma,CA23,IL18RAP
Asthma,CA23,IL1B
Asthma,CA23,IL1R1
Asthma,CA23,IL1R2
Asthma,CA23,IL1RL1
Asthma,CA23,IL1RN
Asthma,CA23,IL8
Asthma,CA23,IPO11
Asthma,CA23,IRAK3
Asthma,CA23,ITGAL
Asthma,CA23,ITGB5
Asthma,CA23,ITGBL1
Asthma,CA23,JUB
Asthma,CA23,KAL1
Asthma,CA23,KBTBD10
Asthma,CA23,KCNG3
Asthma,CA23,KCNT2
Asthma,CA23,KCNV1
Asthma,CA23,KIAA1383
Asthma,CA23,KIF24
Asthma,CA23,KIF5A
Asthma,CA23,KRT222
Asthma,CA23,KRTAP4-12
Asthma,CA23,KRTAP4-7
Asthma,CA23,LAPTM5
Asthma,CA23,LGALS12
Asthma,CA23,LGR4
Asthma,CA23,LGSN
Asthma,CA23,LIFR
Asthma,CA23,LIPA
Asthma,CA23,LOC100125871
Asthma,CA23,LOC100127950
Asthma,CA23,LOC100127980
Asthma,CA23,LOC100129502
Asthma,CA23,LOC100129620
Asthma,CA23,LOC100131754
Asthma,CA23,LOC100131781
Asthma,CA23,LOC100133109
Asthma,CA23,LOC100134031
Asthma,CA23,LOC100192378
Asthma,CA23,LOC100272217
Asthma,CA23,LOC100287035
Asthma,CA23,LOC100287521
Asthma,CA23,LOC100287887
