disease name,icde-11,gene symbol
Type 2 diabetes mellitus,5A11,CSMD1
Type 2 diabetes mellitus,5A11,TCN1
Type 2 diabetes mellitus,5A11,PCOLCE2
Type 2 diabetes mellitus,5A11,ELFN1
Type 2 diabetes mellitus,5A11,ASCL2
Type 2 diabetes mellitus,5A11,ALDOB
Type 2 diabetes mellitus,5A11,PRIMA1
Type 2 diabetes mellitus,5A11,ARG2
Type 2 diabetes mellitus,5A11,TMEM37
Type 2 diabetes mellitus,5A11,FAIM2
Type 2 diabetes mellitus,5A11,DKK3
Type 2 diabetes mellitus,5A11,SLC2A2
Type 2 diabetes mellitus,5A11,TMEM27
Type 2 diabetes mellitus,5A11,ADAMTS17
Type 2 diabetes mellitus,5A11,RP1-212P9.2
Type 2 diabetes mellitus,5A11,GRIN2D
Type 2 diabetes mellitus,5A11,SLC26A4
Type 2 diabetes mellitus,5A11,HS6ST2
Type 2 diabetes mellitus,5A11,CYS1
Type 2 diabetes mellitus,5A11,FAM19A4
Type 2 diabetes mellitus,5A11,ACRBP
Type 2 diabetes mellitus,5A11,RASGRP1
Type 2 diabetes mellitus,5A11,KCNAB2
Type 2 diabetes mellitus,5A11,CHL1
Type 2 diabetes mellitus,5A11,ERICH5
Type 2 diabetes mellitus,5A11,PPP1R1A
Type 2 diabetes mellitus,5A11,TSHR
Type 2 diabetes mellitus,5A11,RDH10
Type 2 diabetes mellitus,5A11,NTN1
Type 2 diabetes mellitus,5A11,NHLH2
Type 2 diabetes mellitus,5A11,LOC101927734
Type 2 diabetes mellitus,5A11,IRF8
Type 2 diabetes mellitus,5A11,CDKN1A
Type 2 diabetes mellitus,5A11,HCN4
Type 2 diabetes mellitus,5A11,MRO
Type 2 diabetes mellitus,5A11,LINC01116
Type 2 diabetes mellitus,5A11,PDE4B
Type 2 diabetes mellitus,5A11,MIOX
Type 2 diabetes mellitus,5A11,C3orf70
Type 2 diabetes mellitus,5A11,MYCN
Type 2 diabetes mellitus,5A11,HHATL
Type 2 diabetes mellitus,5A11,RP11-539L10.3
Type 2 diabetes mellitus,5A11,FFAR4
Type 2 diabetes mellitus,5A11,MYLK3
Type 2 diabetes mellitus,5A11,CTB-12O2.1
Type 2 diabetes mellitus,5A11,GAD1
Type 2 diabetes mellitus,5A11,LOC101929550
Type 2 diabetes mellitus,5A11,NSG1
Type 2 diabetes mellitus,5A11,F12
Type 2 diabetes mellitus,5A11,RNF6
Type 2 diabetes mellitus,5A11,KCTD16
Type 2 diabetes mellitus,5A11,PLA1A
Type 2 diabetes mellitus,5A11,FOXE1
Type 2 diabetes mellitus,5A11,CTNNA3
Type 2 diabetes mellitus,5A11,MLIP
Type 2 diabetes mellitus,5A11,AGT
Type 2 diabetes mellitus,5A11,PCSK9
Type 2 diabetes mellitus,5A11,FTCD
Type 2 diabetes mellitus,5A11,PRG4
Type 2 diabetes mellitus,5A11,TMEM132C
Type 2 diabetes mellitus,5A11,MLPH
Type 2 diabetes mellitus,5A11,ARHGAP22
Type 2 diabetes mellitus,5A11,LOC100132207
Type 2 diabetes mellitus,5A11,RYR2
Type 2 diabetes mellitus,5A11,CALCA
Type 2 diabetes mellitus,5A11,CH25H
Type 2 diabetes mellitus,5A11,LRRTM2
Type 2 diabetes mellitus,5A11,FLJ38379
Type 2 diabetes mellitus,5A11,DQ592442
Type 2 diabetes mellitus,5A11,TMED6
Type 2 diabetes mellitus,5A11,ZNF578
Type 2 diabetes mellitus,5A11,FAM107A
Type 2 diabetes mellitus,5A11,ZMAT4
Type 2 diabetes mellitus,5A11,SLC24A3
Type 2 diabetes mellitus,5A11,UNC5D
Type 2 diabetes mellitus,5A11,LINC00616
Type 2 diabetes mellitus,5A11,LIPG
Type 2 diabetes mellitus,5A11,CNTNAP5
Type 2 diabetes mellitus,5A11,TMEM45B
Type 2 diabetes mellitus,5A11,SULF1
Type 2 diabetes mellitus,5A11,SIX2
Type 2 diabetes mellitus,5A11,DAB1
Type 2 diabetes mellitus,5A11,FAM102B
Type 2 diabetes mellitus,5A11,SLC18A2
Type 2 diabetes mellitus,5A11,SERPINB9
Type 2 diabetes mellitus,5A11,ANKRD29
Type 2 diabetes mellitus,5A11,INHBA
Type 2 diabetes mellitus,5A11,PDK4
Type 2 diabetes mellitus,5A11,KCNH8
Type 2 diabetes mellitus,5A11,PCDH10
Type 2 diabetes mellitus,5A11,IGFN1
Type 2 diabetes mellitus,5A11,TPH1
Type 2 diabetes mellitus,5A11,ITIH4
Type 2 diabetes mellitus,5A11,LY96
Type 2 diabetes mellitus,5A11,PON1
Type 2 diabetes mellitus,5A11,COL4A3
Type 2 diabetes mellitus,5A11,ADH6
Type 2 diabetes mellitus,5A11,PCK1
Type 2 diabetes mellitus,5A11,GLB1L3
Type 2 diabetes mellitus,5A11,CRABP1
Type 2 diabetes mellitus,5A11,SYT1
Type 2 diabetes mellitus,5A11,LCN10
Type 2 diabetes mellitus,5A11,MTUS2-AS1
Type 2 diabetes mellitus,5A11,SERTM1
Type 2 diabetes mellitus,5A11,IL12RB1
Type 2 diabetes mellitus,5A11,RGS16
Type 2 diabetes mellitus,5A11,DIO2
Type 2 diabetes mellitus,5A11,P2RX5
Type 2 diabetes mellitus,5A11,NEFL
Type 2 diabetes mellitus,5A11,MUC13
Type 2 diabetes mellitus,5A11,SPP1
Type 2 diabetes mellitus,5A11,GABRA1
Type 2 diabetes mellitus,5A11,ERAP2
Type 2 diabetes mellitus,5A11,FSTL5
Type 2 diabetes mellitus,5A11,RP11-222K16.1
Type 2 diabetes mellitus,5A11,PMAIP1
Type 2 diabetes mellitus,5A11,RHBDL3
Type 2 diabetes mellitus,5A11,DCLK1
Type 2 diabetes mellitus,5A11,DPYD
Type 2 diabetes mellitus,5A11,APBB1IP
Type 2 diabetes mellitus,5A11,SAMSN1
Type 2 diabetes mellitus,5A11,SOCS1
Type 2 diabetes mellitus,5A11,SV2B
Type 2 diabetes mellitus,5A11,ADAM19
Type 2 diabetes mellitus,5A11,GABRB2
Type 2 diabetes mellitus,5A11,KCNE4
Type 2 diabetes mellitus,5A11,ESM1
Type 2 diabetes mellitus,5A11,BRS3
Type 2 diabetes mellitus,5A11,LAMB4
Type 2 diabetes mellitus,5A11,C3
Type 2 diabetes mellitus,5A11,PLN
Type 2 diabetes mellitus,5A11,ITGAM
Type 2 diabetes mellitus,5A11,KY
Type 2 diabetes mellitus,5A11,FAM163A
Type 2 diabetes mellitus,5A11,PAPPA
Type 2 diabetes mellitus,5A11,ST8SIA1
Type 2 diabetes mellitus,5A11,IKZF1
Type 2 diabetes mellitus,5A11,FGR
Type 2 diabetes mellitus,5A11,ZNF595
Type 2 diabetes mellitus,5A11,NPY
Type 2 diabetes mellitus,5A11,CD300A
Type 2 diabetes mellitus,5A11,GLDN
Type 2 diabetes mellitus,5A11,HLA-DRB4
Type 2 diabetes mellitus,5A11,APOD
Type 2 diabetes mellitus,5A11,MYOF
Type 2 diabetes mellitus,5A11,IQCA1
Type 2 diabetes mellitus,5A11,C1QB
Type 2 diabetes mellitus,5A11,EPHA3
Type 2 diabetes mellitus,5A11,CYTIP
Type 2 diabetes mellitus,5A11,LAMP3
Type 2 diabetes mellitus,5A11,SLC24A2
Type 2 diabetes mellitus,5A11,APOC1
Type 2 diabetes mellitus,5A11,DSERG1
Type 2 diabetes mellitus,5A11,TGM2
Type 2 diabetes mellitus,5A11,SLC6A16
Type 2 diabetes mellitus,5A11,SLC16A7
Type 2 diabetes mellitus,5A11,PTPRC
Type 2 diabetes mellitus,5A11,SLAMF7
Type 2 diabetes mellitus,5A11,LOC100132891
Type 2 diabetes mellitus,5A11,CD52
Type 2 diabetes mellitus,5A11,ITGB2
Type 2 diabetes mellitus,5A11,LINC00348
Type 2 diabetes mellitus,5A11,FYB
Type 2 diabetes mellitus,5A11,SLA
Type 2 diabetes mellitus,5A11,HLA-DMB
Type 2 diabetes mellitus,5A11,FGD2
Type 2 diabetes mellitus,5A11,VCAN
Type 2 diabetes mellitus,5A11,IL13RA2
Type 2 diabetes mellitus,5A11,SASH3
Type 2 diabetes mellitus,5A11,ALS2CR11
Type 2 diabetes mellitus,5A11,CSTA
Type 2 diabetes mellitus,5A11,SRGN
Type 2 diabetes mellitus,5A11,TRIM55
Type 2 diabetes mellitus,5A11,TRIM22
Type 2 diabetes mellitus,5A11,LAPTM5
Type 2 diabetes mellitus,5A11,C1QC
Type 2 diabetes mellitus,5A11,HLA-DMA
Type 2 diabetes mellitus,5A11,ZG16B
Type 2 diabetes mellitus,5A11,COL6A3
Type 2 diabetes mellitus,5A11,C11orf96
Type 2 diabetes mellitus,5A11,ADAM28
Type 2 diabetes mellitus,5A11,OLFM4
Type 2 diabetes mellitus,5A11,S100A4
Type 2 diabetes mellitus,5A11,CACNA2D3
Type 2 diabetes mellitus,5A11,TNFAIP2
Type 2 diabetes mellitus,5A11,COL15A1
Type 2 diabetes mellitus,5A11,PDE4A
Type 2 diabetes mellitus,5A11,LYZ
Type 2 diabetes mellitus,5A11,FGB
Type 2 diabetes mellitus,5A11,PHACTR3
Type 2 diabetes mellitus,5A11,CFB
Type 2 diabetes mellitus,5A11,GBP3
Type 2 diabetes mellitus,5A11,IGFBP2
Type 2 diabetes mellitus,5A11,MS4A6A
Type 2 diabetes mellitus,5A11,C6orf58
Type 2 diabetes mellitus,5A11,IFI16
Type 2 diabetes mellitus,5A11,CTSE
Type 2 diabetes mellitus,5A11,LY86
Type 2 diabetes mellitus,5A11,BRINP1
Type 2 diabetes mellitus,5A11,MS4A7
