ingredient name,ttd id,gene ID,gene symbol
Acarbose,D0AD5C,2891,GRIA2
Acarbose,D0AD5C,2706,GJB2
Acarbose,D0AD5C,7422,VEGFA
Acarbose,D0AD5C,3958,LGALS3
Acarbose,D0AD5C,2720,GLB1
Acarbose,D0AD5C,2548,GAA
Acarbose,D0AD5C,8856,NR1I2
Acarbose,D0AD5C,969,CD69
Acarbose,D0AD5C,328,APEX1
Acarbose,D0AD5C,27159,CHIA
Acarbose,D0AD5C,3965,LGALS9
Acarbose,D0AD5C,2247,FGF2
Acarbose,D0AD5C,7299,TYR
Acarbose,D0AD5C,134,ADORA1
Acarbose,D0AD5C,3963,LGALS7
Acarbose,D0AD5C,279,AMY2A
Acarbose,D0AD5C,3960,LGALS4
Acarbose,D0AD5C,4790,NFKB1
Acarbose,D0AD5C,5034,P4HB
Acarbose,D0AD5C,3964,LGALS8
Acarbose,D0AD5C,11181,TREH
Acarbose,D0AD5C,653499,LGALS7B
Acarbose,D0AD5C,276,AMY1A
Acarbose,D0AD5C,8972,MGAM
Acarbose,D0AD5C,641,BLM
Acarbose,D0AD5C,6476,SI
Acarbose,D0AD5C,2246,FGF1
Acarbose,D0AD5C,23632,CA14
