disease name,icd-11,gene ID,gene symbol
Asthma,CA23,142679,DUSP19
Asthma,CA23,3123,HLA-DRB1
Asthma,CA23,100127950,LOC100127950
Asthma,CA23,6277,S100A6
Asthma,CA23,10109,ARPC2
Asthma,CA23,6005,RHAG
Asthma,CA23,400655,LOC400655
Asthma,CA23,285556,LOC285556
Asthma,CA23,27012,KCNV1
Asthma,CA23,79820,CATSPERB
Asthma,CA23,6282,S100A11
Asthma,CA23,3988,LIPA
Asthma,CA23,595101,LOC595101
Asthma,CA23,2998,GYS2
Asthma,CA23,336,APOA2
Asthma,CA23,969,CD69
Asthma,CA23,7180,CRISP2
Asthma,CA23,286097,EFHA2
Asthma,CA23,5009,OTC
Asthma,CA23,6232,RPS27
Asthma,CA23,7363,UGT2B4
Asthma,CA23,2495,FTH1
Asthma,CA23,170850,KCNG3
Asthma,CA23,4637,MYL6
Asthma,CA23,5651,TMPRSS15
Asthma,CA23,6367,CCL22
Asthma,CA23,79839,CCDC102B
Asthma,CA23,347689,SOX2OT
Asthma,CA23,100507650,LOC100131781
Asthma,CA23,220202,ATOH7
Asthma,CA23,200162,SPAG17
Asthma,CA23,2509,FTHL5
Asthma,CA23,55103,RALGPS2
Asthma,CA23,23150,FRMD4B
Asthma,CA23,100272217,LOC100272217
Asthma,CA23,283742,FAM98B
Asthma,CA23,55635,DEPDC1
Asthma,CA23,3921,RPSA
Asthma,CA23,9229,DLGAP1
Asthma,CA23,29909,GPR171
Asthma,CA23,389906,LOC286434
Asthma,CA23,260429,PRSS33
Asthma,CA23,117177,RAB3IP
Asthma,CA23,6579,SLCO1A2
Asthma,CA23,6275,S100A4
Asthma,CA23,1287,COL4A5
Asthma,CA23,201516,ZSCAN4
Asthma,CA23,23626,SPO11
Asthma,CA23,10324,KBTBD10
Asthma,CA23,89874,SLC25A21
Asthma,CA23,3798,KIF5A
Asthma,CA23,339260,LOC339260
Asthma,CA23,4645,MYO5B
Asthma,CA23,284751,LOC284751
Asthma,CA23,220134,SKA1
Asthma,CA23,1178,CLC
Asthma,CA23,84962,JUB
Asthma,CA23,2993,GYPA
Asthma,CA23,6158,RPL28
Asthma,CA23,23322,RPGRIP1L
Asthma,CA23,339327,ZNF546
Asthma,CA23,6303,SAT1
Asthma,CA23,26577,PCOLCE2
Asthma,CA23,283788,LOC283788
Asthma,CA23,791114,PWRN1
Asthma,CA23,256691,MAMDC2
Asthma,CA23,3303,HSPA1A
Asthma,CA23,7057,THBS1
Asthma,CA23,65055,REEP1
Asthma,CA23,25893,TRIM58
Asthma,CA23,266553,OFCC1
Asthma,CA23,54586,C9orf11
Asthma,CA23,2167,FABP4
Asthma,CA23,4148,MATN3
Asthma,CA23,1043,CD52
Asthma,CA23,60,ACTB
Asthma,CA23,216,ALDH1A1
Asthma,CA23,79589,RNF128
Asthma,CA23,79801,SHCBP1
Asthma,CA23,4674,NAP1L2
Asthma,CA23,1004,CDH6
Asthma,CA23,158866,ZDHHC15
Asthma,CA23,7072,TIA1
Asthma,CA23,642280,ZNF876P
Asthma,CA23,7311,UBA52
Asthma,CA23,8809,IL18R1
Asthma,CA23,64109,CRLF2
Asthma,CA23,255631,COL24A1
Asthma,CA23,5308,PITX2
Asthma,CA23,9450,LY86
Asthma,CA23,445815,AKAP2
Asthma,CA23,1720,LOC1720
Asthma,CA23,6361,CCL17
Asthma,CA23,5100,PCDH8
Asthma,CA23,84189,SLITRK6
Asthma,CA23,257358,LOC257358
Asthma,CA23,116135,LRRC3B
Asthma,CA23,2243,FGA
Asthma,CA23,94160,ABCC12
Asthma,CA23,489,ATP2A3
Asthma,CA23,3002,GZMB
Asthma,CA23,6230,RPS25
Asthma,CA23,5067,CNTN3
Asthma,CA23,1047,CLGN
Asthma,CA23,56849,TCEAL7
Asthma,CA23,493812,HCG11
Asthma,CA23,619455,CXorf18
Asthma,CA23,101928906,LOC401522
Asthma,CA23,4983,OPHN1
Asthma,CA23,3105,HLA-A
Asthma,CA23,2825,GPR1
Asthma,CA23,80243,PREX2
Asthma,CA23,11213,IRAK3
Asthma,CA23,6362,CCL18
Asthma,CA23,9173,IL1RL1
Asthma,CA23,9241,NOG
Asthma,CA23,246,ALOX15
Asthma,CA23,9678,PHF14
Asthma,CA23,51557,LGSN
