ingredient name,ttd id,gene ID,gene symbol
Theophylline,D0F8RA,142679,DUSP19
Theophylline,D0F8RA,93587,TRMT10A
Theophylline,D0F8RA,8773,SNAP23
Theophylline,D0F8RA,1277,COL1A1
Theophylline,D0F8RA,54462,CCSER2
Theophylline,D0F8RA,728621,CCDC30
Theophylline,D0F8RA,54512,EXOSC4
Theophylline,D0F8RA,50840,TAS2R14
Theophylline,D0F8RA,8554,PIAS1
Theophylline,D0F8RA,6830,SUPT6H
Theophylline,D0F8RA,3607,FOXK2
Theophylline,D0F8RA,4057,LTF
Theophylline,D0F8RA,91526,ANKRD44
Theophylline,D0F8RA,5618,PRLR
Theophylline,D0F8RA,5435,POLR2F
Theophylline,D0F8RA,284021,MILR1
Theophylline,D0F8RA,4129,MAOB
Theophylline,D0F8RA,79796,ALG9
Theophylline,D0F8RA,6929,TCF3
Theophylline,D0F8RA,9015,TAF1A
Theophylline,D0F8RA,2077,ERF
Theophylline,D0F8RA,22944,KIN
Theophylline,D0F8RA,3559,IL2RA
Theophylline,D0F8RA,6428,SRSF3
Theophylline,D0F8RA,283232,TMEM80
Theophylline,D0F8RA,3606,IL18
Theophylline,D0F8RA,339005,WHAMMP3
Theophylline,D0F8RA,654790,PCP4L1
Theophylline,D0F8RA,9725,TMEM63A
Theophylline,D0F8RA,30813,VSX1
Theophylline,D0F8RA,157869,SBSPON
Theophylline,D0F8RA,3576,CXCL8
Theophylline,D0F8RA,29098,RANGRF
Theophylline,D0F8RA,3033,HADH
Theophylline,D0F8RA,5279,PIGC
Theophylline,D0F8RA,10096,ACTR3
Theophylline,D0F8RA,79780,CCDC82
Theophylline,D0F8RA,54819,ZCCHC10
Theophylline,D0F8RA,326625,MMAB
Theophylline,D0F8RA,79960,JADE1
Theophylline,D0F8RA,1816,DRD5
Theophylline,D0F8RA,29103,DNAJC15
Theophylline,D0F8RA,3991,LIPE
Theophylline,D0F8RA,5141,PDE4A
Theophylline,D0F8RA,7050,TGIF1
Theophylline,D0F8RA,8330,H2AC15
Theophylline,D0F8RA,79048,SECISBP2
Theophylline,D0F8RA,196074,METTL15
Theophylline,D0F8RA,10762,NUP50
Theophylline,D0F8RA,93487,MAPK1IP1L
Theophylline,D0F8RA,283694,OR4N4
Theophylline,D0F8RA,5558,PRIM2
Theophylline,D0F8RA,121504,H4C16
