disease name,icde-11,gene ID,gene symbol
T2DM,5A11,23704,KCNE4
T2DM,5A11,796,CALCA
T2DM,5A11,102723886,LOC102723886
T2DM,5A11,151254,ALS2CR11
T2DM,5A11,58504,ARHGAP22
T2DM,5A11,64092,SAMSN1
T2DM,5A11,8651,SOCS1
T2DM,5A11,680,BRS3
T2DM,5A11,3512,IGJ
T2DM,5A11,6590,SLPI
T2DM,5A11,352999,C6orf58
T2DM,5A11,9023,CH25H
T2DM,5A11,414332,LCN10
T2DM,5A11,57528,KCTD16
T2DM,5A11,3485,IGFBP2
T2DM,5A11,84675,TRIM55
T2DM,5A11,148753,FAM163A
T2DM,5A11,1439,CSF2RB
T2DM,5A11,8284,KDM5D
T2DM,5A11,5142,PDE4B
T2DM,5A11,1806,DPYD
T2DM,5A11,1026,CDKN1A
T2DM,5A11,26577,PCOLCE2
T2DM,5A11,1600,DAB1
T2DM,5A11,1306,COL15A1
T2DM,5A11,6049,RNF6
T2DM,5A11,25769,SLC24A2
T2DM,5A11,375295,LINC01116
T2DM,5A11,1734,DIO2
T2DM,5A11,116154,PHACTR3
T2DM,5A11,79083,MLPH
T2DM,5A11,9388,LIPG
T2DM,5A11,4808,NHLH2
T2DM,5A11,28968,SLC6A16
T2DM,5A11,27122,DKK3
T2DM,5A11,284611,FAM102B
T2DM,5A11,3099,HK2
T2DM,5A11,2571,GAD1
T2DM,5A11,7474,WNT5A
T2DM,5A11,283431,GAS2L3
T2DM,5A11,5366,PMAIP1
T2DM,5A11,27074,LAMP3
T2DM,5A11,55799,CACNA2D3
T2DM,5A11,112937,GLB1L3
T2DM,5A11,8832,CD84
T2DM,5A11,92293,TMEM132C
T2DM,5A11,6571,SLC18A2
T2DM,5A11,8671,SLC4A4
T2DM,5A11,9595,CYTIP
T2DM,5A11,79781,IQCA1
T2DM,5A11,5552,SRGN
T2DM,5A11,170691,ADAMTS17
T2DM,5A11,124220,ZG16B
T2DM,5A11,145270,PRIMA1
T2DM,5A11,2268,FGR
T2DM,5A11,8514,KCNAB2
T2DM,5A11,29968,PSAT1
T2DM,5A11,129684,CNTNAP5
T2DM,5A11,120224,TMEM45B
T2DM,5A11,5166,PDK4
T2DM,5A11,5272,SERPINB9
T2DM,5A11,7253,TSHR
T2DM,5A11,6489,ST8SIA1
T2DM,5A11,5105,PCK1
T2DM,5A11,3598,IL13RA2
T2DM,5A11,10320,IKZF1
T2DM,5A11,100506107,LOC100506107
T2DM,5A11,6004,RGS16
T2DM,5A11,1620,BRINP1
T2DM,5A11,90523,MLIP
T2DM,5A11,5996,RGS1
T2DM,5A11,7052,TGM2
T2DM,5A11,342035,GLDN
T2DM,5A11,9899,SV2B
T2DM,5A11,6262,RYR2
T2DM,5A11,23017,FAIM2
T2DM,5A11,6275,S100A4
T2DM,5A11,229,ALDOB
T2DM,5A11,26509,MYOF
T2DM,5A11,10216,PRG4
T2DM,5A11,2635,GBP3
T2DM,5A11,4852,NPY
T2DM,5A11,7050,TGIF1
T2DM,5A11,5141,PDE4A
T2DM,5A11,91156,IGFN1
T2DM,5A11,54518,APBB1IP
T2DM,5A11,140738,TMEM37
T2DM,5A11,6696,SPP1
T2DM,5A11,100885781,LINC00348
T2DM,5A11,5069,PAPPA
T2DM,5A11,26045,LRRTM2
T2DM,5A11,3126,HLA-DRB4
T2DM,5A11,713,C1QB
T2DM,5A11,23643,LY96
T2DM,5A11,3428,IFI16
T2DM,5A11,55586,MIOX
T2DM,5A11,347,APOD
T2DM,5A11,152687,ZNF595
T2DM,5A11,797,CALCB
T2DM,5A11,5026,P2RX5
T2DM,5A11,162494,RHBDL3
T2DM,5A11,9180,OSMR
T2DM,5A11,3594,IL12RB1
T2DM,5A11,392617,ELFN1
T2DM,5A11,9194,SLC16A7
T2DM,5A11,84519,ACRBP
T2DM,5A11,56667,MUC13
T2DM,5A11,23213,SULF1
T2DM,5A11,10346,TRIM22
T2DM,5A11,183,AGT
T2DM,5A11,3394,IRF8
T2DM,5A11,57575,PCDH10
T2DM,5A11,2042,EPHA3
T2DM,5A11,4257,MGST1
T2DM,5A11,400120,SERTM1
T2DM,5A11,222008,VSTM2A
T2DM,5A11,6857,SYT1
T2DM,5A11,91807,MYLK3
T2DM,5A11,2244,FGB
T2DM,5A11,5172,SLC26A4
T2DM,5A11,5444,PON1
T2DM,5A11,7166,TPH1
T2DM,5A11,641365,LINC00616
T2DM,5A11,2161,F12
T2DM,5A11,56884,FSTL5
