disease name,icde-11,gene ID,gene symbol
Type 2 diabetes mellitus,5A11,23704,KCNE4
Type 2 diabetes mellitus,5A11,796,CALCA
Type 2 diabetes mellitus,5A11,102723886,LOC102723886
Type 2 diabetes mellitus,5A11,151254,ALS2CR11
Type 2 diabetes mellitus,5A11,58504,ARHGAP22
Type 2 diabetes mellitus,5A11,64092,SAMSN1
Type 2 diabetes mellitus,5A11,8651,SOCS1
Type 2 diabetes mellitus,5A11,680,BRS3
Type 2 diabetes mellitus,5A11,3512,IGJ
Type 2 diabetes mellitus,5A11,6590,SLPI
Type 2 diabetes mellitus,5A11,352999,C6orf58
Type 2 diabetes mellitus,5A11,9023,CH25H
Type 2 diabetes mellitus,5A11,414332,LCN10
Type 2 diabetes mellitus,5A11,57528,KCTD16
Type 2 diabetes mellitus,5A11,3485,IGFBP2
Type 2 diabetes mellitus,5A11,84675,TRIM55
Type 2 diabetes mellitus,5A11,148753,FAM163A
Type 2 diabetes mellitus,5A11,1439,CSF2RB
Type 2 diabetes mellitus,5A11,8284,KDM5D
Type 2 diabetes mellitus,5A11,5142,PDE4B
Type 2 diabetes mellitus,5A11,1806,DPYD
Type 2 diabetes mellitus,5A11,1026,CDKN1A
Type 2 diabetes mellitus,5A11,26577,PCOLCE2
Type 2 diabetes mellitus,5A11,1600,DAB1
Type 2 diabetes mellitus,5A11,1306,COL15A1
Type 2 diabetes mellitus,5A11,6049,RNF6
Type 2 diabetes mellitus,5A11,25769,SLC24A2
Type 2 diabetes mellitus,5A11,375295,LINC01116
Type 2 diabetes mellitus,5A11,1734,DIO2
Type 2 diabetes mellitus,5A11,116154,PHACTR3
Type 2 diabetes mellitus,5A11,79083,MLPH
Type 2 diabetes mellitus,5A11,9388,LIPG
Type 2 diabetes mellitus,5A11,4808,NHLH2
Type 2 diabetes mellitus,5A11,28968,SLC6A16
Type 2 diabetes mellitus,5A11,27122,DKK3
Type 2 diabetes mellitus,5A11,284611,FAM102B
Type 2 diabetes mellitus,5A11,3099,HK2
Type 2 diabetes mellitus,5A11,2571,GAD1
Type 2 diabetes mellitus,5A11,7474,WNT5A
Type 2 diabetes mellitus,5A11,283431,GAS2L3
Type 2 diabetes mellitus,5A11,5366,PMAIP1
Type 2 diabetes mellitus,5A11,27074,LAMP3
Type 2 diabetes mellitus,5A11,55799,CACNA2D3
Type 2 diabetes mellitus,5A11,112937,GLB1L3
