ingredient name,ttd id,gene ID,gene symbol
Theophylline,D0F8RA,3565,IL4
Theophylline,D0F8RA,3596,IL13
Theophylline,D0F8RA,3569,IL6
Theophylline,D0F8RA,4353,MPO
Theophylline,D0F8RA,3593,IL12B
Theophylline,D0F8RA,3572,IL6ST
Theophylline,D0F8RA,4842,NOS1
Theophylline,D0F8RA,3684,ITGAM
Theophylline,D0F8RA,7040,TGFB1
Theophylline,D0F8RA,3716,JAK1
Theophylline,D0F8RA,5925,RB1
Theophylline,D0F8RA,3665,IRF7
Theophylline,D0F8RA,836,CASP3
Theophylline,D0F8RA,5562,PRKAA1
Theophylline,D0F8RA,5578,PRKCA
Theophylline,D0F8RA,5972,REN
Theophylline,D0F8RA,7185,TRAF1
Theophylline,D0F8RA,613,BCR
Theophylline,D0F8RA,4609,MYC
Theophylline,D0F8RA,3562,IL3
Theophylline,D0F8RA,7124,TNF
Theophylline,D0F8RA,3559,IL2RA
Theophylline,D0F8RA,5598,MAPK7
Theophylline,D0F8RA,3576,CXCL8
Theophylline,D0F8RA,4907,NT5E
Theophylline,D0F8RA,596,BCL2
Theophylline,D0F8RA,857,CAV1
Theophylline,D0F8RA,920,CD4
Theophylline,D0F8RA,595,CCND1
Theophylline,D0F8RA,6347,CCL2
Theophylline,D0F8RA,3458,IFNG
Theophylline,D0F8RA,3553,IL1B
Theophylline,D0F8RA,3667,IRS1
Theophylline,D0F8RA,4087,SMAD2
Theophylline,D0F8RA,3606,IL18
Theophylline,D0F8RA,8662,EIF3B
Theophylline,D0F8RA,3689,ITGB2
Theophylline,D0F8RA,6750,SST
Theophylline,D0F8RA,5465,PPARA
Theophylline,D0F8RA,7424,VEGFC
Theophylline,D0F8RA,8841,HDAC3
Theophylline,D0F8RA,3611,ILK
Theophylline,D0F8RA,4843,NOS2
Theophylline,D0F8RA,4050,LTB
Theophylline,D0F8RA,3439,IFNA1
Theophylline,D0F8RA,6774,STAT3
Theophylline,D0F8RA,5970,RELA
Theophylline,D0F8RA,3570,IL6R
Theophylline,D0F8RA,3592,IL12A
Theophylline,D0F8RA,331,XIAP
Theophylline,D0F8RA,7273,TTN
Theophylline,D0F8RA,5468,PPARG
Theophylline,D0F8RA,7157,TP53
Theophylline,D0F8RA,5141,PDE4A
Theophylline,D0F8RA,8661,EIF3A
Theophylline,D0F8RA,945,CD33
Theophylline,D0F8RA,4790,NFKB1
Theophylline,D0F8RA,4792,NFKBIA
